,timestamp,programme,ML,IR,stat,DB,gender,chocolate,neighbours,stand,money,random,good(1),good(2),y_birth,m_birth,d_birth,h_bed,m_bed
118,4/5/2018 11:27:43,BA,1,0,1,0,male,neither,-1,0,0,9,Wake up without A alarm,Going to the gym,1992,12,30,23,30
119,4/5/2018 11:27:43,CLS,0,0,1,0,male,ignorant,7,0,10,-1,Sports,Being productive,1994,2,18,23,30
120,4/5/2018 11:27:43,CS,0,0,0,0,male,slim,2,-1,0,9,Good food,fast train,1996,5,22,0,0
121,4/5/2018 11:27:43,BA,1,1,1,1,female,fat,7,0,0,8,Nice weather,Coffe,1995,9,13,23,0
122,4/5/2018 11:27:44,AI,1,1,0,0,male,ignorant,8,1,1,7,Finish my daily tasks,Watch a movie,1993,3,26,0,30
123,4/5/2018 11:27:44,AI,1,1,0,1,female,fat,8,0,50,7,no rain,sun,-1,11,15,-1,-1
124,4/5/2018 11:27:45,CLS,1,0,1,0,male,neither,8,0,0,4,sun,good food,1990,4,4,11,49
125,4/5/2018 11:27:45,AI,0,1,1,0,male,ignorant,7,0,-1,9,Getting my salary,Bike not braking down,1989,4,19,23,45
126,4/5/2018 11:27:45,MPA,0,0,1,0,male,neither,4,0,100,4,sunny weather,no obligations,1992,4,6,23,0
127,4/5/2018 11:27:45,CS,1,1,1,1,male,fat,8,0,80,6,Sunny weather ,Good food,1995,5,4,-1,-1
128,4/5/2018 11:27:45,CS,1,0,0,0,male,fat,-1,0,1,7,good dinner,assignmeny done,1988,9,22,0,0
129,4/5/2018 11:27:45,AI,1,1,0,0,male,fat,-1,0,100,1,Get some good sleep,Get satisfaction at work,1981,3,14,0,30
130,4/5/2018 11:27:46,CLS,1,0,1,0,male,neither,3,0,0,8,Friendly encounters,Good coffee,1993,12,31,2,0
131,4/5/2018 11:27:46,CS,1,0,1,0,female,neither,1,0,0,2,Morning tea,Getting to bed early,1996,11,2,-1,-1
132,4/5/2018 11:27:46,CS,1,0,1,0,male,fat,2,0,0,10,Good dinner,Friends,1995,3,20,12,20
133,4/5/2018 11:27:46,AI,1,1,1,0,female,fat,1,0,-1,-1,Seeing friends,sun,-1,5,19,2,0
134,4/5/2018 11:27:47,AI,0,0,1,-1,female,ignorant,1,0,12,8,Nothing,"Nothing, I hate life",-1,8,12,6,0
135,4/5/2018 11:27:48,EOR,0,0,1,0,male,neither,8,0,0,-1,Sports,Good dinner,1995,10,12,23,45
136,4/5/2018 11:27:48,EOR,1,1,1,0,male,fat,-1,0,100,-1,Achievement,Relaxation,1994,10,23,-1,-1
137,4/5/2018 11:27:48,BA,0,0,1,0,female,neither,1,0,10,4,Tasty food,Being with my friends,1993,2,18,23,30
138,4/5/2018 11:27:48,CS,1,0,1,0,male,neither,5,0,100,10,Productivity,Decent dinner,-1,6,17,0,0
139,4/5/2018 11:27:48,BA,1,1,1,1,male,neither,1,0,5,1,Sleep,Good news,1996,2,9,0,0
140,4/5/2018 11:27:49,CS,0,0,0,0,female,neither,2,0,10,10,Sunny day,Meeting with friends,1995,4,24,0,0
141,4/5/2018 11:27:50,CS,0,0,1,1,male,ignorant,3,0,25,7,Food,Football,-1,3,29,0,0
142,4/5/2018 11:27:50,CS,0,0,0,0,male,fat,7,0,1,4,Succeed in dayly goal,Noting to do,1994,6,23,11,30
143,4/5/2018 11:27:50,AI,1,0,1,0,male,ignorant,4,0,15,1,Coffee,Sunshine,1990,10,25,0,0
144,4/5/2018 11:27:50,BA,1,1,1,1,unknown,neither,1,0,0,6,No school/work,Sex,1994,6,9,23,30
